代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,Market Cap,市盈率,PB,5日的区间涨跌幅,PEG
sz000650,仁和药业,5.69,0.43,8.175,5.68,5.69,5.26,5.22,5.74,5.17,38270208.0,209886313.0,7965648551.460001,11.18,1.33,-0.006980802792321122,-76.66285714285713
sh600537,亿晶光电,3.83,0.27,7.584,3.83,3.84,3.56,3.52,3.89,3.42,36316784.0,132976616.0,4581024768.940001,11.18,1.64,-0.06812652068126526,-9.196451612903227
sz000065,北方国际,9.4,0.14,1.512,9.4,9.41,9.26,8.9,9.74,8.51,22450379.0,204034897.0,9418740902.2,11.21,1.16,-0.13443830570902388,-136.38833333333346
sz000026,飞亚达,8.54,0.37,4.529,8.53,8.54,8.17,8.0,8.73,7.8,9546739.0,78506739.0,3545978543.7999997,11.22,1.08,-0.10199789695057841,-38.432115238817296
sh603515,欧普照明,14.83,0.66,4.658,14.74,14.83,14.17,13.93,14.96,13.43,4329431.0,61701670.0,11069498099.05,11.29,1.74,-0.05960684844641722,-84.67500000000003
sh603365,水星家纺,15.8,0.84,5.615,15.79,15.8,14.96,14.65,16.04,14.15,5503871.0,83790194.0,4151189300.0,11.3,1.47,-0.008160703075957251,-40.23902439024391
sh600618,氯碱化工,7.06,0.28,4.13,7.05,7.06,6.78,6.71,7.18,6.52,8274464.0,56517769.0,8164183830.559999,11.59,1.05,-0.11970074812967581,-51.17302305475504
sz000034,神州数码,22.33,1.7,8.24,22.32,22.33,20.63,20.25,22.59,20.15,27707942.0,599719661.0,14951754448.4,11.77,1.82,-0.026166593981683448,3.850149228421231
sz300434,金石亚药,8.12,0.78,10.627,8.12,8.13,7.34,7.18,8.32,6.89,6957480.0,52941139.0,3262160240.64,11.77,1.35,-0.04806565064478314,5.407837837837838
sz000543,皖能电力,6.95,0.21,3.116,6.95,6.96,6.74,6.69,7.1,6.61,37910354.0,261255787.0,15754700150.45,11.79,1.12,-0.02387640449438201,-8.918076923076923
sh603579,荣泰健康,16.75,0.6,3.715,16.72,16.75,16.15,15.5,17.47,15.47,2861212.0,46723538.0,2327820714.25,11.79,1.19,-0.07815079801871225,-39.67788461538461
sh600479,千金药业,9.22,0.42,4.773,9.21,9.22,8.8,8.75,9.4,8.67,10626218.0,95797208.0,3954615818.7400002,11.83,1.74,-0.039583333333333234,-683.1115200000024
sh603393,新天然气,26.46,1.86,7.561,26.46,26.47,24.6,24.5,27.05,23.88,5946704.0,152411941.0,11216958312.42,11.88,1.61,-0.01999999999999997,-63.67680000000001
sh600167,联美控股,5.42,0.39,7.753,5.4,5.42,5.03,4.95,5.5,4.8,10614032.0,54618648.0,12401607554.5,11.92,1.15,-0.035587188612099675,-124.68698412698419
sh603811,诚意药业,6.5,0.2,3.175,6.49,6.5,6.3,6.18,6.74,5.78,10651247.0,65958419.0,2127478080.0,11.92,1.86,-0.12751677852348994,-217.5399999999998
sh600113,浙江东日,5.57,-0.14,-2.452,5.55,5.57,5.71,5.55,5.88,5.14,19264808.0,104349475.0,2347931346.2000003,11.98,1.05,-0.1808823529411764,-15.8735
sh603506,南都物业,7.1,-0.39,-5.207,7.1,7.11,7.49,7.03,7.35,6.74,9010351.0,61960415.0,1333222230.8999999,12.0,1.23,-0.1986455981941309,-104.40000000000002
sh603759,海天股份,5.89,-0.04,-0.675,5.89,5.9,5.93,5.54,6.09,5.46,5973620.0,34359005.0,2719766400.0,12.09,1.09,-0.1727528089887641,-32.68777777777778
sh603102,百合股份,31.3,1.09,3.608,31.22,31.3,30.21,29.62,32.22,29.03,814944.0,24862538.0,2003200000.0,12.09,1.32,-0.07778432527990563,-42.315000000000005
sh600580,卧龙电驱,9.54,0.85,9.781,9.54,9.55,8.69,8.68,9.56,8.52,23039460.0,211642626.0,12509230802.039999,12.12,1.27,0.002100840336134409,-63.86340041637751
sh601139,深圳燃气,6.37,0.31,5.116,6.37,6.38,6.06,5.96,6.39,5.92,17957899.0,110970536.0,18324773246.78,12.22,1.32,0.0015723270440251237,-114.86800000000002
sz000521,长虹美菱,7.33,0.39,5.62,7.32,7.33,6.94,6.79,7.63,6.53,40669997.0,288178209.0,7549340830.95,12.3,1.35,-0.008119079837618351,3.2707865168539323
sh600548,深高速,8.78,0.07,0.804,8.78,8.79,8.71,8.66,8.86,8.6,8218851.0,71719906.0,19147163462.28,12.33,1.1,-0.039387308533916976,-49.90287272727272
sh601065,江盐集团,8.99,0.57,6.77,8.98,8.99,8.42,8.4,9.15,8.1,8048051.0,69789138.0,5778556950.21,12.44,1.45,-0.08452138492871691,9.64734693877551
sh600587,新华医疗,19.09,1.36,7.671,19.08,19.09,17.73,17.48,19.48,17.12,13602121.0,251123344.0,8908959170.01,12.51,1.23,-0.044544544544544575,-122.4192857142856
sh603112,华翔股份,8.57,0.12,1.42,8.57,8.58,8.45,8.17,8.92,7.82,5290932.0,43688014.0,3746525089.35,12.53,1.51,-0.15399802566633763,-60.30062499999998
sz000597,东北制药,4.07,0.17,4.359,4.07,4.08,3.9,3.84,4.17,3.8,26671752.0,105805902.0,5816450288.55,12.62,1.2,-0.08333333333333336,4.907777777777778
sh603080,新疆火炬,11.42,-0.12,-1.04,11.42,11.43,11.54,11.11,11.89,10.39,7339750.0,80857046.0,1615930000.0,12.63,1.15,-0.1877667140825036,-227.34000000000043
sh603587,地素时尚,12.1,0.85,7.556,12.09,12.1,11.25,11.04,12.27,10.98,3940897.0,46098717.0,5776374012.2,12.7,1.58,-0.015459723352318919,-28.575
sh600681,百川能源,3.56,0.14,4.094,3.55,3.56,3.42,3.4,3.61,3.32,9363072.0,32573802.0,4773443123.6,12.8,1.35,-0.04043126684636116,-49.91999999999999
sh600267,海正药业,7.19,0.58,8.775,7.18,7.19,6.61,6.6,7.24,6.46,18271293.0,126599106.0,8684612018.04,12.98,1.05,-0.06744487678339812,-558.1399999999995
sh603989,艾华集团,15.1,1.2,8.633,15.09,15.1,13.9,13.85,15.22,13.38,6221593.0,89435302.0,6052446582.7,12.99,1.75,-0.06327543424317626,-140.36544169611312
sz000779,甘咨询,7.2,0.04,0.559,7.2,7.21,7.16,6.81,7.44,6.5,7049342.0,48762721.0,3374447284.8,12.99,1.2,-0.17714285714285713,-41.46643405188162
sz300259,新天科技,2.55,0.1,4.082,2.55,2.56,2.45,2.4,2.63,2.32,18207354.0,44795113.0,2982993865.7999997,13.1,1.06,-0.15562913907284776,-32.306629448709
